location,population,peak_infection,infection_rate
Saint Kitts and Nevis,53192,44,0.082719206
Angola,32866300,26652,0.081092262
Cambodia,16719000,13402,0.080160436
Nigeria,206140000,165110,0.080096213
Sudan,43849300,33944,0.077410642
Mali,20250800,13858,0.06843175
Benin,12123200,7821,0.064512681
Burkina Faso,20903300,13310,0.063674224
New Zealand,4822230,2613,0.054186515
Brunei,437483,224,0.05120199
Sierra Leone,7976980,4054,0.050821206
Liberia,5057680,2099,0.041501266
Burundi,11890800,3995,0.033597456718780706
Democratic Republic of Congo,89561400,29853,0.033332437
Chad,16425900,4817,0.029325711367667283
Niger,24206600,5228,0.021597383
Yemen,29826000,6317,0.021179530535270472
Fiji,896444,117,0.013051568196117105
Laos,7275560,757,0.010404703
China,1439320000,102494,0.007120983
Marshall Islands,59194,4,0.006757442
Taiwan,23816800,1128,0.004736157
Vietnam,97338600,2928,0.003008057
Solomon Islands,686878,20,0.002911725
Samoa,198410,3,0.001512021
Vanuatu,307150,4,0.001302295
Micronesia (country),115021,1,0.000869406
Tanzania,59734200,509,0.000852108
Aruba,106766,0,0
Cayman Islands,65720,0,0
